公司代號,公司名稱,營利事業統一編號
1101,台灣水泥股份有限公司,11913502
1102,亞洲水泥股份有限公司,3244509
1103,嘉新水泥股份有限公司,11892801
1104,環球水泥股份有限公司,7568009
1108,幸福水泥股份有限公司,40601248
1109,信大水泥股份有限公司,3279507
1110,東南水泥股份有限公司,83078600
1201,味全食品工業股份有限公司,11347802
1203,味王股份有限公司,7067309
1210,大成長城企業股份有限公司,73008303
1213,大西洋飲料股份有限公司,35012903
1215,台灣卜蜂企業股份有限公司,36514783
1216,統一企業股份有限公司,73251209
1217,愛之味股份有限公司,65534366
1218,泰山企業股份有限公司,59661701
1219,福壽實業股份有限公司,56192402
1220,台榮產業股份有限公司,3543210
1225,福懋油脂股份有限公司,22102298
1227,佳格食品股份有限公司,22102473
1229,聯華實業股份有限公司,11996904
1231,聯華食品工業股份有限公司,7569627
1232,大統益股份有限公司,20927014
1233,天仁茶業股份有限公司,18559415
1234,黑松股份有限公司,20651901
1235,興泰實業股份有限公司,85617982
1236,宏亞食品股份有限公司,34106066
1256,鮮活控股股份有限公司,37759808
1262,綠悅控股有限公司,38490560
1301,台灣塑膠工業股份有限公司,75708007
1303,南亞塑膠工業股份有限公司,75370905
1304,台灣聚合化學品股份有限公司,11917107
1305,華夏海灣塑膠股份有限公司,11686106
1307,三芳化學工業股份有限公司,83387850
1308,亞洲聚合股份有限公司,20747385
1309,台達化學工業股份有限公司,11893409
1310,台灣苯乙烯工業股份有限公司,20844865
1312,國喬石油化學股份有限公司,4212250
1313,聯成化學科技股份有限公司,4748660
1314,中國石油化學工業開發(股)公司,3084741
1315,達新工業股份有限公司,51059101
1316,上曜建設開發股份有限公司,73654033
1319,東陽實業廠股份有限公司,68326665
1321,大洋塑膠工業股份有限公司,15024509
1323,永裕塑膠工業股份有限公司,68192103
1324,地球綜合工業股份有限公司,7147916
1325,恒大股份有限公司,11455800
1326,台灣化學纖維股份有限公司,58650902
1337,亞洲塑膠再生資源控股有限公司,26068617
1338,廣華控股有限公司,26594386
1339,昭輝實業股份有限公司,22078327
1340,勝悅新材料有限公司,37722768
1341,富林塑膠工業(開曼)控股(股)公司,82716171
1402,遠東新世紀股份有限公司,3522600
1409,新光合成纖維股份有限公司,7435515
1410,南洋染整股份有限公司,35286207
1413,宏洲纖維工業股份有限公司,7220710
1414,東和紡織股份有限公司,73141105
1416,廣豐實業股份有限公司,43434316
1417,嘉裕股份有限公司,11825825
1418,東華合纖股份有限公司,11083148
1419,新光紡織股份有限公司,7435901
1423,利華羊毛工業股份有限公司,11311608
1432,大魯閣實業股份有限公司,4690983
1434,福懋興業股份有限公司,14001199
1435,中福國際(股)公司,3101946
1436,華友聯開發股份有限公司(原福益),7510318
1437,勤益投資控股股份有限公司,35535607
